Pais,Latitud,Longitud
Antigua and Barbuda,17.05,-61.8
Bhutan,27.5,90.5
Italy,42.83333333,12.83333333
Tuvalu,-8.0,178.0
Anguilla,18.25,-63.16666666
Australia,-27.0,133.0
Belize,17.25,-88.75
Vanuatu,-16.0,167.0
Belarus,53.0,28.0
Mauritius,-20.28333333,57.55
Laos,18.0,105.0
Senegal,14.0,-14.0
Turkey,39.0,35.0
Bolivia,-17.0,-65.0
Sri Lanka,7.0,81.0
Norfolk Island,-29.03333333,167.95
China,35.0,105.0
Caribbean Netherlands,12.18,-68.25
Guernsey,49.46666666,-2.58333333
Sudan,15.0,30.0
Mayotte,-12.83333333,45.16666666
Saint Barthélemy,18.5,-63.41666666
Vatican City,41.9,12.45
Turks and Caicos Islands,21.75,-71.58333333
Curaçao,12.116667,-68.933333
Botswana,-22.0,24.0
Benin,9.5,2.25
Lithuania,56.0,24.0
Montserrat,16.75,-62.2
British Virgin Islands,18.431383,-64.62305
Burundi,-3.5,30.0
United States Minor Outlying Islands,19.3,166.633333
Ireland,53.0,-8.0
Solomon Islands,-8.0,159.0
Bermuda,32.33333333,-64.75
Finland,64.0,26.0
Peru,-10.0,-76.0
Bangladesh,24.0,90.0
Denmark,56.0,10.0
Saint Vincent and the Grenadines,13.25,-61.2
Dominican Republic,19.0,-70.66666666
Moldova,47.0,29.0
Bulgaria,43.0,25.0
Costa Rica,10.0,-84.0
Namibia,-22.0,17.0
Svalbard and Jan Mayen,78.0,20.0
Luxembourg,49.75,6.16666666
Russia,60.0,100.0
United Arab Emirates,24.0,54.0
Sint Maarten,18.033333,-63.05
Bahamas,25.0343,-77.3963
Japan,36.0,138.0
Nigeria,10.0,8.0
Ghana,8.0,-2.0
Sierra Leone,8.5,-11.5
Saint Pierre and Miquelon,46.83333333,-56.33333333
Albania,41.0,20.0
Tokelau,-9.0,-172.0
"Saint Helena, Ascension and Tristan da Cunha",-15.95,-5.72
Tonga,-20.0,-175.0
Turkmenistan,40.0,60.0
Djibouti,11.5,43.0
Central African Republic,7.0,21.0
Lebanon,33.83333333,35.83333333
Latvia,57.0,25.0
Cocos (Keeling) Islands,-12.1642,96.871
Gambia,13.46666666,-16.56666666
Honduras,15.0,-86.5
Niue,-19.03333333,-169.86666666
Mauritania,20.0,-12.0
Kosovo,42.666667,21.166667
Wallis and Futuna,-13.3,-176.2
South Georgia,-54.5,-37.0
French Polynesia,-17.6797,-149.4068
Togo,8.0,1.16666666
Belgium,50.83333333,4.0
Zambia,-15.0,30.0
Cayman Islands,19.3133,-81.2546
Pitcairn Islands,-25.06666666,-130.1
Cook Islands,-21.23333333,-159.76666666
Madagascar,-20.0,47.0
Montenegro,42.5,19.3
South Korea,37.0,127.5
Ethiopia,8.0,38.0
Mongolia,46.0,105.0
Slovakia,48.66666666,19.5
Cuba,21.5,-80.0
Antarctica,-90.0,0.0
Guatemala,15.5,-90.25
French Guiana,4.0,-53.0
Norway,62.0,10.0
Grenada,12.11666666,-61.66666666
Réunion,-21.15,55.5
Chile,-30.0,-71.0
Colombia,4.0,-72.0
Saudi Arabia,25.0,45.0
Israel,31.47,35.13
Germany,51.0,9.0
New Zealand,-41.0,174.0
Greenland,72.0,-40.0
Kyrgyzstan,41.0,75.0
El Salvador,13.83333333,-88.91666666
Faroe Islands,62.0,-7.0
Palau,7.5,134.5
Malta,35.9375,14.3754
Syria,35.0,38.0
Timor-Leste,-8.83333333,125.91666666
Croatia,45.16666666,15.5
Papua New Guinea,-6.0,147.0
Netherlands,52.5,5.75
Liberia,6.5,-9.5
Somalia,10.0,49.0
Venezuela,8.0,-66.0
Haiti,19.0,-72.41666666
Algeria,28.0,3.0
Northern Mariana Islands,15.2,145.75
Saint Martin,18.0708,-63.0501
Heard Island and McDonald Islands,-53.0818,73.5042
Aruba,12.5,-69.96666666
Egypt,27.0,30.0
Malawi,-13.5,34.0
Equatorial Guinea,2.0,10.0
United States Virgin Islands,18.35,-64.933333
Ecuador,-2.0,-77.5
Uzbekistan,41.0,64.0
Gabon,-1.0,11.75
South Sudan,7.0,30.0
Iran,32.0,53.0
Kazakhstan,48.0196,66.9237
Nicaragua,13.0,-85.0
Iceland,65.0,-18.0
Slovenia,46.11666666,14.81666666
Guadeloupe,16.25,-61.583333
Cameroon,6.0,12.0
Argentina,-34.0,-64.0
Azerbaijan,40.5,47.5
Uganda,1.0,32.0
Niger,16.0,8.0
Christmas Island,-10.5,105.66666666
Myanmar,22.0,98.0
Poland,52.0,20.0
Jordan,31.0,36.0
Hong Kong,22.267,114.188
DR Congo,0.0,25.0
Eritrea,15.0,39.0
Kiribati,1.41666666,173.0
Marshall Islands,9.0,168.0
Burkina Faso,13.0,-2.0
Zimbabwe,-20.0,30.0
Kenya,1.0,38.0
Comoros,-12.16666666,44.25
Gibraltar,36.13333333,-5.35
Brunei,4.5,114.66666666
Sweden,62.0,15.0
Lesotho,-29.5,28.5
Isle of Man,54.25,-4.5
Micronesia,6.91666666,158.25
Tanzania,-6.0,35.0
Cape Verde,16.5388,-23.0418
Afghanistan,33.0,65.0
Andorra,42.5,1.5
Greece,39.0,22.0
Vietnam,16.16666666,107.83333333
French Southern and Antarctic Lands,-49.25,69.167
Iraq,33.0,44.0
Libya,25.0,17.0
Portugal,39.5,-8.0
Pakistan,30.0,70.0
Maldives,3.25,73.0
Morocco,32.0,-5.0
Bosnia and Herzegovina,44.0,18.0
Samoa,-13.58333333,-172.33333333
Palestine,31.9,35.2
Oman,21.0,57.0
Bahrain,26.0,50.55
United States,38.0,-97.0
Puerto Rico,18.25,-66.5
British Indian Ocean Territory,-6.0,71.5
Jersey,49.25,-2.16666666
North Macedonia,41.83333333,22.0
Tunisia,34.0,9.0
Trinidad and Tobago,10.6918,-61.2225
Estonia,59.0,26.0
Singapore,1.36666666,103.8
Panama,9.0,-80.0
Switzerland,47.0,8.0
Uruguay,-33.0,-56.0
Tajikistan,39.0,71.0
Taiwan,23.5,121.0
South Africa,-29.0,24.0
Liechtenstein,47.26666666,9.53333333
Brazil,-10.0,-55.0
Armenia,40.0,45.0
Georgia,42.0,43.5
Åland Islands,60.116667,19.9
Qatar,25.5,51.25
Dominica,15.41666666,-61.33333333
Ukraine,49.0,32.0
Guinea,11.0,-10.0
Macau,22.16666666,113.55
Western Sahara,24.5,-13.0
Czechia,49.75,15.5
Austria,47.33333333,13.33333333
Saint Kitts and Nevis,17.33333333,-62.75
Saint Lucia,13.88333333,-60.96666666
Yemen,15.0,48.0
Rwanda,-2.0,30.0
Monaco,43.73333333,7.4
São Tomé and Príncipe,1.0,7.0
Republic of the Congo,-1.0,15.0
Paraguay,-23.0,-58.0
Bouvet Island,-54.4208,3.3464
Mozambique,-18.25,35.0
France,46.0,2.0
Eswatini,-26.5,31.5
Barbados,13.16666666,-59.53333333
Spain,40.0,-4.0
Thailand,15.0,100.0
Guinea-Bissau,12.0,-15.0
Angola,-12.5,18.5
India,20.0,77.0
Martinique,14.666667,-61.0
New Caledonia,-21.5,165.5
Seychelles,-4.58333333,55.66666666
Falkland Islands,-51.75,-59.0
United Kingdom,54.0,-2.0
Fiji,-17.7134,178.065
San Marino,43.76666666,12.41666666
Mali,17.0,-4.0
Canada,60.0,-95.0
Jamaica,18.25,-77.5
Nauru,-0.53333333,166.91666666
Indonesia,-5.0,120.0
Guam,13.46666666,144.78333333
Ivory Coast,8.0,-5.0
Kuwait,29.5,45.75
Philippines,13.0,122.0
Guyana,5.0,-59.0
Hungary,47.0,20.0
Mexico,23.0,-102.0
North Korea,40.0,127.0
Romania,46.0,25.0
Suriname,4.0,-56.0
American Samoa,-14.33333333,-170.0
Nepal,28.0,84.0
Chad,15.0,19.0
Serbia,44.0,21.0
Cambodia,13.0,105.0
Malaysia,2.5,112.5
Cyprus,35.0,33.0
